#Assembly 1	Assembly 2
A01p00020.1_BnaDARv10-PA	CDY61895.1
A01p00800.1_BnaDARv10-PA	CDY56500.1
A01p00810.1_BnaDARv10-PA	CDY63898.1
A01p00820.1_BnaDARv10-PA	CDY63896.1
A01p00830.1_BnaDARv10-PA	CDY63895.1
A01p00860.1_BnaDARv10-PA	CDY63891.1
A01p00890.1_BnaDARv10-PA	CDY69836.1
A01p00900.1_BnaDARv10-PA	CDY69835.1
A01p00910.1_BnaDARv10-PA	CDY69834.1
A01p00920.1_BnaDARv10-PA	CDY68255.1
A01p00940.1_BnaDARv10-PA	CDY68288.1
A01p00950.1_BnaDARv10-PA	CDY13557.1
A01p01120.1_BnaDARv10-PA	CDY49684.1
A01p01250.1_BnaDARv10-PA	CDY67919.1
A01p01370.1_BnaDARv10-PA	CDY50978.1
A01p01860.1_BnaDARv10-PA	CDY71121.1
A01p02020.1_BnaDARv10-PA	CDY18952.1
A01p02270.1_BnaDARv10-PA	CDY65854.1
A01p02280.1_BnaDARv10-PA	CDY70754.1
A01p02290.1_BnaDARv10-PA	CDY64609.1
A01p02300.1_BnaDARv10-PA	CDY64608.1
A01p02310.1_BnaDARv10-PA	CDY64607.1
A01p02320.1_BnaDARv10-PA	CDY64606.1
A01p02330.1_BnaDARv10-PA	CDY64605.1
A01p02390.1_BnaDARv10-PA	CDY59701.1
A01p02430.1_BnaDARv10-PA	CDY64924.1
A01p02610.1_BnaDARv10-PA	CDY47054.1
A01p02750.1_BnaDARv10-PA	CDY47046.1
A01p02860.1_BnaDARv10-PA	CDY47039.1
A01p03220.1_BnaDARv10-PA	CDY40636.1
A01p03300.1_BnaDARv10-PA	CDY17532.1
A01p03350.1_BnaDARv10-PA	CDY70269.1
A01p03360.1_BnaDARv10-PA	CDY52640.1
A01p03370.1_BnaDARv10-PA	CDY52641.1
A01p03380.1_BnaDARv10-PA	CDY52642.1
A01p03390.1_BnaDARv10-PA	CDY52643.1
A01p03400.1_BnaDARv10-PA	CDY52644.1
A01p03410.1_BnaDARv10-PA	CDY52645.1
A01p03430.1_BnaDARv10-PA	CDY52647.1
A01p03450.1_BnaDARv10-PA	CDY52648.1
A01p03490.1_BnaDARv10-PA	CDY52651.1
A01p03510.1_BnaDARv10-PA	CDY52653.1
A01p03520.1_BnaDARv10-PA	CDY52654.1
A01p03670.1_BnaDARv10-PA	CDY34812.1
A01p03680.1_BnaDARv10-PA	CDY34811.1
A01p03810.1_BnaDARv10-PA	CDY45327.1
A01p03830.1_BnaDARv10-PA	CDY45324.1
A01p03990.1_BnaDARv10-PA	CDY46248.1
A01p04020.1_BnaDARv10-PA	CDY45311.1
A01p04240.1_BnaDARv10-PA	CDY49286.1
A01p04260.1_BnaDARv10-PA	CDY49280.1
A01p04280.1_BnaDARv10-PA	CDY69708.1
A01p04370.1_BnaDARv10-PA	CDY51952.1
A01p04380.1_BnaDARv10-PA	CDY68228.1
A01p04550.1_BnaDARv10-PA	CDY49035.1
A01p04570.1_BnaDARv10-PA	CDY70702.1
A01p04640.1_BnaDARv10-PA	CDY48438.1
A01p04860.1_BnaDARv10-PA	CDY45042.1
A01p05350.1_BnaDARv10-PA	CDY13508.1
A01p05590.1_BnaDARv10-PA	CDY69848.1
A01p05870.1_BnaDARv10-PA	CDY23329.1
A01p05960.1_BnaDARv10-PA	CDY13484.1
A01p06160.1_BnaDARv10-PA	CDY61390.1
A01p06350.1_BnaDARv10-PA	CDY68778.1
A01p06380.1_BnaDARv10-PA	CDY26414.1
A01p06450.1_BnaDARv10-PA	CDY39881.1
A01p06560.1_BnaDARv10-PA	CDY39870.1
A01p06620.1_BnaDARv10-PA	CDY69986.1
A01p06630.1_BnaDARv10-PA	CDY60859.1
A01p06660.1_BnaDARv10-PA	CDY60854.1
A01p06690.1_BnaDARv10-PA	CDY60850.1
A01p06720.1_BnaDARv10-PA	CDY70000.1
A01p06730.1_BnaDARv10-PA	CDY70001.1
A01p06740.1_BnaDARv10-PA	CDY70255.1
A01p06760.1_BnaDARv10-PA	CDY69169.1
A01p06800.1_BnaDARv10-PA	CDY68020.1
A01p06810.1_BnaDARv10-PA	CDY68019.1
A01p06830.1_BnaDARv10-PA	CDY28270.1
A01p06850.1_BnaDARv10-PA	CDY28268.1
A01p06860.1_BnaDARv10-PA	CDY28267.1
A01p06870.1_BnaDARv10-PA	CDY28266.1
A01p06880.1_BnaDARv10-PA	CDY28265.1
A01p06890.1_BnaDARv10-PA	CDY28264.1
A01p06910.1_BnaDARv10-PA	CDY28263.1
A01p06940.1_BnaDARv10-PA	CDY28260.1
A01p06950.1_BnaDARv10-PA	CDY28259.1
A01p06970.1_BnaDARv10-PA	CDY28257.1
A01p06980.1_BnaDARv10-PA	CDY28256.1
A01p06990.1_BnaDARv10-PA	CDY28255.1
A01p07000.1_BnaDARv10-PA	CDY23291.1
A01p07010.1_BnaDARv10-PA	CDY28253.1
A01p07030.1_BnaDARv10-PA	CDY28250.1
A01p07040.1_BnaDARv10-PA	CDY28249.1
A01p07050.1_BnaDARv10-PA	CDY28248.1
A01p07060.1_BnaDARv10-PA	CDY28247.1
A01p07070.1_BnaDARv10-PA	CDY28246.1
A01p07080.1_BnaDARv10-PA	CDY28245.1
A01p07100.1_BnaDARv10-PA	CDY28243.1
A01p07110.1_BnaDARv10-PA	CDY28241.1
A01p07120.1_BnaDARv10-PA	CDY28240.1
A01p07130.1_BnaDARv10-PA	CDY28239.1
A01p07150.1_BnaDARv10-PA	CDY28237.1
A01p07160.1_BnaDARv10-PA	CDY28236.1
A01p07170.1_BnaDARv10-PA	CDY28235.1
A01p07180.1_BnaDARv10-PA	CDY28234.1
A01p07190.1_BnaDARv10-PA	CDY28233.1
A01p07200.1_BnaDARv10-PA	CDY28232.1
A01p07240.1_BnaDARv10-PA	CDY28230.1
A01p07260.1_BnaDARv10-PA	CDY28228.1
A01p07270.1_BnaDARv10-PA	CDY28227.1
A01p07290.1_BnaDARv10-PA	CDY28224.1
A01p07310.1_BnaDARv10-PA	CDY28222.1
A01p07340.1_BnaDARv10-PA	CDY28219.1
A01p07350.1_BnaDARv10-PA	CDY28218.1
A01p07360.1_BnaDARv10-PA	CDY28217.1
A01p07370.1_BnaDARv10-PA	CDY28216.1
A01p07380.1_BnaDARv10-PA	CDY28215.1
A01p07390.1_BnaDARv10-PA	CDY28214.1
A01p07400.1_BnaDARv10-PA	CDY28213.1
A01p07490.1_BnaDARv10-PA	CDY28208.1
A01p07530.1_BnaDARv10-PA	CDY28204.1
A01p07560.1_BnaDARv10-PA	CDY28202.1
A01p07590.1_BnaDARv10-PA	CDY28201.1
A01p07600.1_BnaDARv10-PA	CDY28200.1
A01p07620.1_BnaDARv10-PA	CDY28198.1
A01p07630.1_BnaDARv10-PA	CDY28197.1
A01p07640.1_BnaDARv10-PA	CDY28196.1
A01p07650.1_BnaDARv10-PA	CDY28195.1
A01p07690.1_BnaDARv10-PA	CDY28191.1
A01p07700.1_BnaDARv10-PA	CDY28190.1
A01p07730.1_BnaDARv10-PA	CDY70926.1
A01p07740.1_BnaDARv10-PA	CDY28187.1
A01p07750.1_BnaDARv10-PA	CDY28186.1
A01p07760.1_BnaDARv10-PA	CDY28185.1
A01p07770.1_BnaDARv10-PA	CDY68265.1
A01p07780.1_BnaDARv10-PA	CDY28184.1
A01p07790.1_BnaDARv10-PA	CDY28183.1
A01p07820.1_BnaDARv10-PA	CDY28179.1
A01p07830.1_BnaDARv10-PA	CDY28178.1
A01p07840.1_BnaDARv10-PA	CDY28177.1
A01p07850.1_BnaDARv10-PA	CDY28176.1
A01p07860.1_BnaDARv10-PA	CDY28175.1
A01p07870.1_BnaDARv10-PA	CDY28174.1
A01p07880.1_BnaDARv10-PA	CDY28173.1
A01p07910.1_BnaDARv10-PA	CDY28170.1
A01p07920.1_BnaDARv10-PA	CDY28169.1
A01p07930.1_BnaDARv10-PA	CDY28168.1
A01p07940.1_BnaDARv10-PA	CDY28167.1
A01p07960.1_BnaDARv10-PA	CDY67154.1
A01p07970.1_BnaDARv10-PA	CDY28166.1
A01p07980.1_BnaDARv10-PA	CDY28165.1
A01p07990.1_BnaDARv10-PA	CDY28164.1
A01p08000.1_BnaDARv10-PA	CDY28163.1
A01p08020.1_BnaDARv10-PA	CDY28160.1
A01p08040.1_BnaDARv10-PA	CDY43554.1
A01p08060.1_BnaDARv10-PA	CDY43553.1
A01p08070.1_BnaDARv10-PA	CDY43552.1
A01p08080.1_BnaDARv10-PA	CDY43551.1
A01p08090.1_BnaDARv10-PA	CDY43550.1
A01p08100.1_BnaDARv10-PA	CDY43549.1
A01p08120.1_BnaDARv10-PA	CDY43547.1
A01p08130.1_BnaDARv10-PA	CDY43546.1
A01p08140.1_BnaDARv10-PA	CDY43545.1
A01p08150.1_BnaDARv10-PA	CDY43544.1
A01p08160.1_BnaDARv10-PA	CDY43543.1
A01p08170.1_BnaDARv10-PA	CDY43542.1
A01p08180.1_BnaDARv10-PA	CDY43541.1
A01p08190.1_BnaDARv10-PA	CDY43540.1
A01p08210.1_BnaDARv10-PA	CDY68633.1
A01p08270.1_BnaDARv10-PA	CDY43535.1
A01p08280.1_BnaDARv10-PA	CDY43534.1
A01p08290.1_BnaDARv10-PA	CDY43533.1
A01p08300.1_BnaDARv10-PA	CDY43532.1
A01p08310.1_BnaDARv10-PA	CDY43531.1
A01p08320.1_BnaDARv10-PA	CDY43530.1
A01p08350.1_BnaDARv10-PA	CDY43527.1
A01p08400.1_BnaDARv10-PA	CDY43523.1
A01p08430.1_BnaDARv10-PA	CDY43521.1
A01p08440.1_BnaDARv10-PA	CDY43520.1
A01p08470.1_BnaDARv10-PA	CDY43515.1
A01p08480.1_BnaDARv10-PA	CDY43514.1
A01p08490.1_BnaDARv10-PA	CDY43513.1
A01p08520.1_BnaDARv10-PA	CDY43511.1
A01p08530.1_BnaDARv10-PA	CDY43510.1
A01p08540.1_BnaDARv10-PA	CDY43509.1
A01p08550.1_BnaDARv10-PA	CDY43508.1
A01p08560.1_BnaDARv10-PA	CDY43506.1
A01p08570.1_BnaDARv10-PA	CDY43505.1
A01p08590.1_BnaDARv10-PA	CDY43502.1
A01p08600.1_BnaDARv10-PA	CDY43501.1
A01p08610.1_BnaDARv10-PA	CDY43500.1
A01p08620.1_BnaDARv10-PA	CDY43499.1
A01p08630.1_BnaDARv10-PA	CDY43498.1
A01p08640.1_BnaDARv10-PA	CDY48722.1
A01p08650.1_BnaDARv10-PA	CDY43496.1
A01p08670.1_BnaDARv10-PA	CDY43494.1
A01p08700.1_BnaDARv10-PA	CDY68825.1
A01p08710.1_BnaDARv10-PA	CDY47769.1
A01p08740.1_BnaDARv10-PA	CDY48609.1
A01p08750.1_BnaDARv10-PA	CDY48608.1
A01p08760.1_BnaDARv10-PA	CDY48607.1
A01p08770.1_BnaDARv10-PA	CDY48606.1
A01p08810.1_BnaDARv10-PA	CDY48603.1
A01p08840.1_BnaDARv10-PA	CDY48602.1
A01p08890.1_BnaDARv10-PA	CDY48596.1
A01p08940.1_BnaDARv10-PA	CDY35246.1
A01p08950.1_BnaDARv10-PA	CDY35245.1
A01p08980.1_BnaDARv10-PA	CDY35240.1
A01p09000.1_BnaDARv10-PA	CDY35236.1
A01p09010.1_BnaDARv10-PA	CDY35235.1
A01p09020.1_BnaDARv10-PA	CDY35234.1
A01p09030.1_BnaDARv10-PA	CDY35233.1
A01p09040.1_BnaDARv10-PA	CDY35230.1
A01p09060.1_BnaDARv10-PA	CDY35228.1
A01p09070.1_BnaDARv10-PA	CDY35227.1
A01p09080.1_BnaDARv10-PA	CDY35226.1
A01p09090.1_BnaDARv10-PA	CDY35225.1
A01p09110.1_BnaDARv10-PA	CDY35223.1
A01p09130.1_BnaDARv10-PA	CDY35219.1
A01p09140.1_BnaDARv10-PA	CDY35218.1
A01p09150.1_BnaDARv10-PA	CDY35217.1
A01p09160.1_BnaDARv10-PA	CDY35216.1
A01p09220.1_BnaDARv10-PA	CDY65573.1
A01p09230.1_BnaDARv10-PA	CDY35211.1
A01p09240.1_BnaDARv10-PA	CDY35210.1
A01p09250.1_BnaDARv10-PA	CDY35209.1
A01p09270.1_BnaDARv10-PA	CDY35206.1
A01p09280.1_BnaDARv10-PA	CDY35205.1
A01p09290.1_BnaDARv10-PA	CDY35204.1
A01p09300.1_BnaDARv10-PA	CDY35203.1
A01p09310.1_BnaDARv10-PA	CDY35202.1
A01p09320.1_BnaDARv10-PA	CDY35201.1
A01p09330.1_BnaDARv10-PA	CDY35200.1
A01p09340.1_BnaDARv10-PA	CDY35199.1
A01p09360.1_BnaDARv10-PA	CDY35198.1
A01p09370.1_BnaDARv10-PA	CDY67961.1
A01p09410.1_BnaDARv10-PA	CDY38380.1
A01p09420.1_BnaDARv10-PA	CDY35196.1
A01p09430.1_BnaDARv10-PA	CDY35195.1
A01p09440.1_BnaDARv10-PA	CDY35194.1
A01p09460.1_BnaDARv10-PA	CDY35189.1
A01p09480.1_BnaDARv10-PA	CDY35187.1
A01p09490.1_BnaDARv10-PA	CDY38390.1
A01p09500.1_BnaDARv10-PA	CDY35186.1
A01p09510.1_BnaDARv10-PA	CDY35185.1
A01p09520.1_BnaDARv10-PA	CDY35184.1
A01p09530.1_BnaDARv10-PA	CDY69740.1
A01p09540.1_BnaDARv10-PA	CDY69741.1
A01p09590.1_BnaDARv10-PA	CDY65882.1
A01p09600.1_BnaDARv10-PA	CDY65881.1
A01p09620.1_BnaDARv10-PA	CDY65878.1
A01p09640.1_BnaDARv10-PA	CDY65876.1
A01p09650.1_BnaDARv10-PA	CDY67913.1
A01p09670.1_BnaDARv10-PA	CDY38411.1
A01p09680.1_BnaDARv10-PA	CDY38412.1
A01p09770.1_BnaDARv10-PA	CDY38421.1
A01p09790.1_BnaDARv10-PA	CDY60787.1
A01p09810.1_BnaDARv10-PA	CDY60785.1
A01p09840.1_BnaDARv10-PA	CDY54786.1
A01p09850.1_BnaDARv10-PA	CDY54781.1
A01p09860.1_BnaDARv10-PA	CDY54780.1
A01p09870.1_BnaDARv10-PA	CDY44515.1
A01p09890.1_BnaDARv10-PA	CDY44512.1
A01p09920.1_BnaDARv10-PA	CDY70860.1
A01p09930.1_BnaDARv10-PA	CDY44507.1
A01p09950.1_BnaDARv10-PA	CDY44504.1
A01p09960.1_BnaDARv10-PA	CDY44503.1
A01p09970.1_BnaDARv10-PA	CDY44502.1
A01p10000.1_BnaDARv10-PA	CDY44499.1
A01p10010.1_BnaDARv10-PA	CDY44498.1
A01p10020.1_BnaDARv10-PA	CDY44497.1
A01p10050.1_BnaDARv10-PA	CDY44493.1
A01p10070.1_BnaDARv10-PA	CDY61674.1
A01p10080.1_BnaDARv10-PA	CDY08886.1
A01p10100.1_BnaDARv10-PA	CDY61670.1
A01p10120.1_BnaDARv10-PA	CDY61668.1
A01p10320.1_BnaDARv10-PA	CDY60877.1
A01p10350.1_BnaDARv10-PA	CDY60881.1
A01p10360.1_BnaDARv10-PA	CDY60882.1
A01p10380.1_BnaDARv10-PA	CDY60883.1
A01p10390.1_BnaDARv10-PA	CDY60884.1
A01p10610.1_BnaDARv10-PA	CDY53995.1
A01p10630.1_BnaDARv10-PA	CDY67351.1
A01p10640.1_BnaDARv10-PA	CDY67350.1
A01p10660.1_BnaDARv10-PA	CDY58019.1
A01p10740.1_BnaDARv10-PA	CDY34051.1
A01p10750.1_BnaDARv10-PA	CDY64920.1
A01p10980.1_BnaDARv10-PA	CDY09267.1
A01p11200.1_BnaDARv10-PA	CDY09282.1
A01p11210.1_BnaDARv10-PA	CDY68433.1
A01p11220.1_BnaDARv10-PA	CDY70791.1
A01p11250.1_BnaDARv10-PA	CDY35059.1
A01p11610.1_BnaDARv10-PA	CDY65204.1
A01p11640.1_BnaDARv10-PA	CDY65203.1
A01p11680.1_BnaDARv10-PA	CDY51918.1
A01p11690.1_BnaDARv10-PA	CDY59140.1
A01p11700.1_BnaDARv10-PA	CDY59139.1
A01p11710.1_BnaDARv10-PA	CDY68017.1
A01p11730.1_BnaDARv10-PA	CDY51886.1
A01p11760.1_BnaDARv10-PA	CDY51891.1
A01p11770.1_BnaDARv10-PA	CDY51892.1
A01p11820.1_BnaDARv10-PA	CDY50054.1
A01p11850.1_BnaDARv10-PA	CDY50057.1
A01p11880.1_BnaDARv10-PA	CDY50060.1
A01p11900.1_BnaDARv10-PA	CDY31451.1
A01p11920.1_BnaDARv10-PA	CDY50064.1
A01p11950.1_BnaDARv10-PA	CDY68962.1
A01p11960.1_BnaDARv10-PA	CDY66354.1
A01p11980.1_BnaDARv10-PA	CDY71950.1
A01p11990.1_BnaDARv10-PA	CDY67613.1
A01p12070.1_BnaDARv10-PA	CDY54571.1
A01p12210.1_BnaDARv10-PA	CDY68906.1
A01p12280.1_BnaDARv10-PA	CDY69774.1
A01p12310.1_BnaDARv10-PA	CDY31428.1
A01p12470.1_BnaDARv10-PA	CDY58485.1
A01p12490.1_BnaDARv10-PA	CDY45376.1
A01p12660.1_BnaDARv10-PA	CDY67443.1
A01p12670.1_BnaDARv10-PA	CDY67444.1
A01p12680.1_BnaDARv10-PA	CDY67445.1
A01p12690.1_BnaDARv10-PA	CDY67446.1
A01p12730.1_BnaDARv10-PA	CDY63479.1
A01p12750.1_BnaDARv10-PA	CDY63474.1
A01p13020.1_BnaDARv10-PA	CDY71761.1
A01p13030.1_BnaDARv10-PA	CDY42027.1
A01p13120.1_BnaDARv10-PA	CDY68973.1
A01p13140.1_BnaDARv10-PA	CDY27419.1
A01p13290.1_BnaDARv10-PA	CDY11740.1
A01p13740.1_BnaDARv10-PA	CDY33532.1
A01p13750.1_BnaDARv10-PA	CDY27450.1
A01p13890.1_BnaDARv10-PA	CDY71452.1
A01p13960.1_BnaDARv10-PA	CDY72058.1
A01p14040.1_BnaDARv10-PA	CDY41291.1
A01p14050.1_BnaDARv10-PA	CDY41290.1
A01p14070.1_BnaDARv10-PA	CDY41289.1
A01p14080.1_BnaDARv10-PA	CDY41288.1
A01p14090.1_BnaDARv10-PA	CDY41287.1
A01p14100.1_BnaDARv10-PA	CDY41286.1
A01p14110.1_BnaDARv10-PA	CDY41285.1
A01p14130.1_BnaDARv10-PA	CDY41283.1
A01p14160.1_BnaDARv10-PA	CDY41278.1
A01p14200.1_BnaDARv10-PA	CDY10826.1
A01p14230.1_BnaDARv10-PA	CDY41266.1
A01p14240.1_BnaDARv10-PA	CDY41265.1
A01p14250.1_BnaDARv10-PA	CDY41264.1
A01p14280.1_BnaDARv10-PA	CDY41261.1
A01p14290.1_BnaDARv10-PA	CDY41260.1
A01p14300.1_BnaDARv10-PA	CDY41259.1
A01p14330.1_BnaDARv10-PA	CDY41255.1
A01p14340.1_BnaDARv10-PA	CDY41254.1
A01p14350.1_BnaDARv10-PA	CDY53132.1
A01p14360.1_BnaDARv10-PA	CDY41253.1
A01p14370.1_BnaDARv10-PA	CDY41252.1
A01p14380.1_BnaDARv10-PA	CDY41251.1
A01p14390.1_BnaDARv10-PA	CDY41250.1
A01p14400.1_BnaDARv10-PA	CDY41249.1
A01p14410.1_BnaDARv10-PA	CDY41247.1
A01p14420.1_BnaDARv10-PA	CDY41246.1
A01p14430.1_BnaDARv10-PA	CDY41245.1
A01p14440.1_BnaDARv10-PA	CDY10851.1
A01p14460.1_BnaDARv10-PA	CDY41243.1
A01p14520.1_BnaDARv10-PA	CDY66922.1
A01p14550.1_BnaDARv10-PA	CDY70908.1
A01p14570.1_BnaDARv10-PA	CDY44092.1
A01p14590.1_BnaDARv10-PA	CDY10879.1
A01p14600.1_BnaDARv10-PA	CDY44095.1
A01p14610.1_BnaDARv10-PA	CDY10883.1
A01p14620.1_BnaDARv10-PA	CDY44096.1
A01p14640.1_BnaDARv10-PA	CDY44097.1
A01p14660.1_BnaDARv10-PA	CDY69635.1
A01p14670.1_BnaDARv10-PA	CDY72180.1
A01p14680.1_BnaDARv10-PA	CDY44099.1
A01p14710.1_BnaDARv10-PA	CDY63419.1
A01p14730.1_BnaDARv10-PA	CDY44103.1
A01p14790.1_BnaDARv10-PA	CDY44111.1
A01p14810.1_BnaDARv10-PA	CDY44113.1
A01p14820.1_BnaDARv10-PA	CDY44114.1
A01p14840.1_BnaDARv10-PA	CDY44115.1
A01p14850.1_BnaDARv10-PA	CDY44116.1
A01p14860.1_BnaDARv10-PA	CDY44117.1
A01p14880.1_BnaDARv10-PA	CDY44118.1
A01p14890.1_BnaDARv10-PA	CDY44119.1
A01p14900.1_BnaDARv10-PA	CDY44120.1
A01p14910.1_BnaDARv10-PA	CDY44121.1
A01p14920.1_BnaDARv10-PA	CDY44122.1
A01p14930.1_BnaDARv10-PA	CDY44123.1
A01p14940.1_BnaDARv10-PA	CDY44124.1
A01p14950.1_BnaDARv10-PA	CDY44125.1
A01p14960.1_BnaDARv10-PA	CDY44126.1
A01p14970.1_BnaDARv10-PA	CDY44127.1
A01p14980.1_BnaDARv10-PA	CDY72547.1
A01p14990.1_BnaDARv10-PA	CDY67339.1
A01p15000.1_BnaDARv10-PA	CDY68371.1
A01p15010.1_BnaDARv10-PA	CDY71556.1
A01p15020.1_BnaDARv10-PA	CDY64550.1
A01p15030.1_BnaDARv10-PA	CDY47629.1
A01p15040.1_BnaDARv10-PA	CDY47628.1
A01p15070.1_BnaDARv10-PA	CDY47626.1
A01p15080.1_BnaDARv10-PA	CDY47625.1
A01p15090.1_BnaDARv10-PA	CDY47624.1
A01p15100.1_BnaDARv10-PA	CDY47623.1
A01p15110.1_BnaDARv10-PA	CDY47622.1
A01p15120.1_BnaDARv10-PA	CDY47621.1
A01p15130.1_BnaDARv10-PA	CDY47620.1
A01p15140.1_BnaDARv10-PA	CDY47619.1
A01p15150.1_BnaDARv10-PA	CDY47618.1
A01p15160.1_BnaDARv10-PA	CDY47617.1
A01p15170.1_BnaDARv10-PA	CDY47616.1
A01p15180.1_BnaDARv10-PA	CDY47615.1
A01p15210.1_BnaDARv10-PA	CDY47613.1
A01p15220.1_BnaDARv10-PA	CDY47612.1
A01p15230.1_BnaDARv10-PA	CDY47611.1
A01p15240.1_BnaDARv10-PA	CDY47610.1
A01p15300.1_BnaDARv10-PA	CDY66677.1
A01p15320.1_BnaDARv10-PA	CDY10985.1
A01p15380.1_BnaDARv10-PA	CDY24797.1
A01p15440.1_BnaDARv10-PA	CDY34258.1
A01p15450.1_BnaDARv10-PA	CDY34259.1
A01p15480.1_BnaDARv10-PA	CDY34260.1
A01p15520.1_BnaDARv10-PA	CDY34264.1
A01p15530.1_BnaDARv10-PA	CDY34265.1
A01p15540.1_BnaDARv10-PA	CDY34266.1
A01p15550.1_BnaDARv10-PA	CDY34267.1
A01p15560.1_BnaDARv10-PA	CDY34268.1
A01p15590.1_BnaDARv10-PA	CDY34272.1
A01p15600.1_BnaDARv10-PA	CDY34273.1
A01p15610.1_BnaDARv10-PA	CDY22264.1
A01p15640.1_BnaDARv10-PA	CDY34274.1
A01p15660.1_BnaDARv10-PA	CDY34276.1
A01p15670.1_BnaDARv10-PA	CDY34277.1
A01p15680.1_BnaDARv10-PA	CDY34278.1
A01p15690.1_BnaDARv10-PA	CDY34279.1
A01p15700.1_BnaDARv10-PA	CDY34280.1
A01p15720.1_BnaDARv10-PA	CDY34281.1
A01p15730.1_BnaDARv10-PA	CDY34282.1
A01p15740.1_BnaDARv10-PA	CDY34283.1
A01p15750.1_BnaDARv10-PA	CDY34284.1
A01p15760.1_BnaDARv10-PA	CDY34285.1
A01p15770.1_BnaDARv10-PA	CDY34286.1
A01p15780.1_BnaDARv10-PA	CDY68878.1
A01p15800.1_BnaDARv10-PA	CDY61006.1
A01p15810.1_BnaDARv10-PA	CDY61008.1
A01p15820.1_BnaDARv10-PA	CDY61009.1
A01p15830.1_BnaDARv10-PA	CDY61010.1
A01p15850.1_BnaDARv10-PA	CDY61011.1
A01p15880.1_BnaDARv10-PA	CDY34287.1
A01p15890.1_BnaDARv10-PA	CDY34288.1
A01p15900.1_BnaDARv10-PA	CDY34289.1
A01p15910.1_BnaDARv10-PA	CDY34290.1
A01p15920.1_BnaDARv10-PA	CDY34291.1
A01p15930.1_BnaDARv10-PA	CDY34292.1
A01p15940.1_BnaDARv10-PA	CDY34293.1
A01p15950.1_BnaDARv10-PA	CDY34294.1
A01p15970.1_BnaDARv10-PA	CDY34296.1
A01p15980.1_BnaDARv10-PA	CDY34297.1
A01p15990.1_BnaDARv10-PA	CDY34298.1
A01p16000.1_BnaDARv10-PA	CDY34299.1
A01p16010.1_BnaDARv10-PA	CDY34300.1
A01p16020.1_BnaDARv10-PA	CDY34301.1
A01p16030.1_BnaDARv10-PA	CDY34302.1
A01p16050.1_BnaDARv10-PA	CDY34305.1
A01p16070.1_BnaDARv10-PA	CDY34308.1
A01p16080.1_BnaDARv10-PA	CDY34309.1
A01p16090.1_BnaDARv10-PA	CDY34310.1
A01p16100.1_BnaDARv10-PA	CDY34311.1
A01p16120.1_BnaDARv10-PA	CDY34314.1
A01p16130.1_BnaDARv10-PA	CDY34315.1
A01p16140.1_BnaDARv10-PA	CDY34316.1
A01p16150.1_BnaDARv10-PA	CDY34317.1
A01p16180.1_BnaDARv10-PA	CDY34321.1
A01p16190.1_BnaDARv10-PA	CDY34322.1
A01p16200.1_BnaDARv10-PA	CDY34323.1
A01p16210.1_BnaDARv10-PA	CDY34324.1
