#Query (assembly 1) 	 Query (assembly 2)	 Gene name (assembly 2)	UniProt ID (assembly 2)	EC number (assembly 2)
A01p00020.1_BnaDARv10-PA	CDY61895.1	BnaAnng17970D	A0A078JBT0	
A01p00440.1_BnaDARv10-PA	CDY41984.1	BnaA01g05560D	A0A078HX86	
A01p00460.1_BnaDARv10-PA	CDY41986.1	BnaA01g05580D	A0A078HW59	
A01p00510.1_BnaDARv10-PA	CDY41990.1	BnaA01g05620D	A0A078HTX8	
A01p00520.1_BnaDARv10-PA	CDY41991.1	BnaA01g05630D	A0A078HW66	2.3.2.2; 3.4.19.13
A01p00540.1_BnaDARv10-PA	CDY41994.1	BnaA01g05660D	A0A078HX98	2.3.2.2; 3.4.19.13
A01p00550.1_BnaDARv10-PA	CDY41995.1	BnaA01g05670D	A0A078HTY5	
A01p00570.1_BnaDARv10-PA	CDY41997.1	BnaA01g05690D	A0A078HVY6	
A01p00580.1_BnaDARv10-PA	CDY41998.1	BnaA01g05700D	A0A078HZ52	
A01p00590.1_BnaDARv10-PA	CDY41999.1	BnaA01g05710D	A0A078HXA4	
A01p00610.1_BnaDARv10-PA	CDY42001.1	BnaA01g05730D	A0A078HW80	
A01p00620.1_BnaDARv10-PA	CDY42002.1	BnaA01g05740D	A0A078HVZ3	
A01p00630.1_BnaDARv10-PA	CDY42003.1	BnaA01g05750D	A0A078HZ57	
A01p00660.1_BnaDARv10-PA	CDY42004.1	BnaA01g05760D	A0A078HXA9	
A01p00670.1_BnaDARv10-PA	CDY42005.1	BnaA01g05770D	A0A078HTZ9	
A01p00730.1_BnaDARv10-PA	CDY68047.1	BnaA01g34700D	A0A078JRJ0	
A01p00750.1_BnaDARv10-PA	CDY63903.1	BnaA01g34680D	A0A078JC94	
A01p00760.1_BnaDARv10-PA	CDY63902.1	BnaA01g34670D	A0A078J9I0	
A01p00770.1_BnaDARv10-PA	CDY63901.1	BnaA01g34660D	A0A078JFN8	
A01p00780.1_BnaDARv10-PA	CDY63900.1	BnaA01g34650D	A0A078JEY2	
A01p00790.1_BnaDARv10-PA	CDY63899.1	BnaA01g34640D	A0A078JCT3	
A01p00800.1_BnaDARv10-PA	CDY56500.1	BnaAnng14350D	A0A078J0E0	
A01p00810.1_BnaDARv10-PA	CDY63898.1	BnaA01g34630D	A0A078JC88	3.4.19.12
A01p00820.1_BnaDARv10-PA	CDY63896.1	BnaA01g34620D	A0A078J9H4	2.7.1.25
A01p00860.1_BnaDARv10-PA	CDY63891.1	BnaA01g34580D	A0A078JC84	
A01p00890.1_BnaDARv10-PA	CDY69836.1	BnaAnng31680D	A0A078JWG7	
A01p00900.1_BnaDARv10-PA	CDY69835.1	BnaAnng31670D	A0A078JTS9	
A01p00910.1_BnaDARv10-PA	CDY69834.1	BnaAnng31660D	A0A078JSP6	
A01p00920.1_BnaDARv10-PA	CDY68255.1	BnaA01g34570D	A0A078JP96	
A01p00940.1_BnaDARv10-PA	CDY68288.1	BnaAnng26740D	A0A078JLD4	
A01p01120.1_BnaDARv10-PA	CDY49684.1	BnaC03g61150D	A0A078IJU5	2.1.2.1
A01p01250.1_BnaDARv10-PA	CDY67919.1	BnaA01g34550D	A0A078JM81	
A01p01370.1_BnaDARv10-PA	CDY50978.1	BnaA06g37740D	A0A078IPI8	
A01p01860.1_BnaDARv10-PA	CDY71121.1	BnaAnng36200D	A0A078JZW2	
A01p02020.1_BnaDARv10-PA	CDY18952.1	BnaC04g03980D	A0A078G1T3	
A01p02270.1_BnaDARv10-PA	CDY65854.1	BnaC01g40700D	A0A078JGN8	
A01p02280.1_BnaDARv10-PA	CDY70754.1	BnaAnng34860D	A0A078JVF9	
A01p02290.1_BnaDARv10-PA	CDY64609.1	BnaA01g34540D	A0A078JD92	
A01p02300.1_BnaDARv10-PA	CDY64608.1	BnaA01g34530D	A0A078JAM2	
A01p02310.1_BnaDARv10-PA	CDY64607.1	BnaA01g34520D	A0A078JGN1	
A01p02320.1_BnaDARv10-PA	CDY64606.1	BnaA01g34510D	A0A078JFW4	
A01p02330.1_BnaDARv10-PA	CDY64605.1	BnaA01g34500D	A0A078JDT9	2.3.2.27
A01p02430.1_BnaDARv10-PA	CDY64924.1	BnaAnng19750D	A0A078JE31	
A01p02610.1_BnaDARv10-PA	CDY47054.1	BnaAnng08420D	A0A078BWL0	
A01p02750.1_BnaDARv10-PA	CDY47046.1	BnaAnng08340D	A0A078IB42	
A01p02860.1_BnaDARv10-PA	CDY47039.1	BnaAnng08270D	A0A078ICJ5	
A01p03220.1_BnaDARv10-PA	CDY40636.1	BnaA03g53270D	A0A078HSF3	
A01p03300.1_BnaDARv10-PA	CDY17532.1	BnaC03g65310D	A0A078FXT7	
A01p03360.1_BnaDARv10-PA	CDY52640.1	BnaAnng11550D	A0A078INK7	
A01p03370.1_BnaDARv10-PA	CDY52641.1	BnaAnng11560D	A0A078IS09	
A01p03380.1_BnaDARv10-PA	CDY52642.1	BnaAnng11570D	A0A078IRP3	3.2.2.n1
A01p03390.1_BnaDARv10-PA	CDY52643.1	BnaAnng11580D	A0A078IUF3	
A01p03400.1_BnaDARv10-PA	CDY52644.1	BnaAnng11590D	A0A078IT91	
A01p03410.1_BnaDARv10-PA	CDY52645.1	BnaAnng11600D	A0A078INL0	
A01p03430.1_BnaDARv10-PA	CDY52647.1	BnaAnng11620D	A0A078IRP7	
A01p03450.1_BnaDARv10-PA	CDY52648.1	BnaAnng11630D	A0A078IUF9	
A01p03490.1_BnaDARv10-PA	CDY52651.1	BnaAnng11660D	A0A078IS18	
A01p03510.1_BnaDARv10-PA	CDY52653.1	BnaAnng11680D	A0A078IUG4	
A01p03520.1_BnaDARv10-PA	CDY52654.1	BnaAnng11690D	A0A078ITA0	
A01p03670.1_BnaDARv10-PA	CDY34812.1	BnaA09g41790D	A0A078HAN4	3.2.1.26
A01p03680.1_BnaDARv10-PA	CDY34811.1	BnaA09g41780D	A0A078HAS3	
A01p03810.1_BnaDARv10-PA	CDY45327.1	BnaA03g53000D	A0A078I5H2	
A01p03830.1_BnaDARv10-PA	CDY45324.1	BnaA03g52970D	A0A078C6N9	
A01p03990.1_BnaDARv10-PA	CDY46248.1	BnaC03g66090D	A0A078IAL6	
A01p04020.1_BnaDARv10-PA	CDY45311.1	BnaA03g52840D	A0A078I5X2	
A01p04240.1_BnaDARv10-PA	CDY49286.1	BnaA03g50990D	A0A078IH14	1.1.1.95
A01p04260.1_BnaDARv10-PA	CDY49280.1	BnaA03g50930D	A0A078IEI5	
A01p04280.1_BnaDARv10-PA	CDY69708.1	BnaCnng64910D	A0A078JQ44	
A01p04370.1_BnaDARv10-PA	CDY51952.1	BnaA08g11660D	A0A078IPX2	
A01p04380.1_BnaDARv10-PA	CDY68228.1	BnaAnng26560D	A0A078JL44	
A01p04550.1_BnaDARv10-PA	CDY49035.1	BnaA01g22810D	A0A078IDX9	
A01p04570.1_BnaDARv10-PA	CDY70702.1	BnaAnng34680D	A0A078JYH0	2.7.1.134
A01p04640.1_BnaDARv10-PA	CDY48438.1	BnaA08g11470D	A0A078IH32	
A01p04860.1_BnaDARv10-PA	CDY45042.1	BnaA08g11770D	A0A078I4U9	
A01p05350.1_BnaDARv10-PA	CDY13508.1	BnaA03g52260D	A0A078C6A1	
A01p05590.1_BnaDARv10-PA	CDY69848.1	BnaA01g34740D	A0A078JQJ6	
A01p05960.1_BnaDARv10-PA	CDY13484.1	BnaA03g52020D	A0A078FKK6	2.4.1.12
A01p06160.1_BnaDARv10-PA	CDY61390.1	BnaA08g30620D	A0A078JBG2	2.7.1.33
A01p06350.1_BnaDARv10-PA	CDY68778.1	BnaAnng28380D	A0A078JMS2	
A01p06380.1_BnaDARv10-PA	CDY26414.1	BnaC09g42540D	A0A078GMG5	
A01p06450.1_BnaDARv10-PA	CDY39881.1	BnaC03g67360D	A0A078HQG0	
A01p06560.1_BnaDARv10-PA	CDY39870.1	BnaC03g67470D	A0A078HMX0	
A01p06620.1_BnaDARv10-PA	CDY69986.1	BnaA01g34750D	A0A078JWW0	
A01p06630.1_BnaDARv10-PA	CDY60859.1	BnaA01g34850D	A0A078J797	
A01p06660.1_BnaDARv10-PA	CDY60854.1	BnaA01g34810D	A0A078J7X7	
A01p06690.1_BnaDARv10-PA	CDY60850.1	BnaA01g34780D	A0A078JAE3	
A01p06720.1_BnaDARv10-PA	CDY70000.1	BnaA01g34860D	A0A078JU70	
A01p06730.1_BnaDARv10-PA	CDY70001.1	BnaA01g34870D	A0A078JWX9	
A01p06740.1_BnaDARv10-PA	CDY70255.1	BnaA01g34760D	A0A078JUZ6	
A01p06760.1_BnaDARv10-PA	CDY69169.1	BnaAnng29550D	A0A078JQT4	
A01p06800.1_BnaDARv10-PA	CDY68020.1	BnaCnng57320D	A0A078JNE9	
A01p06810.1_BnaDARv10-PA	CDY68019.1	BnaCnng57310D	A0A078JMK2	
A01p06830.1_BnaDARv10-PA	CDY28270.1	BnaA01g05790D	A0A078GNY4	
A01p06850.1_BnaDARv10-PA	CDY28268.1	BnaA01g05810D	A0A078GUD6	
A01p06860.1_BnaDARv10-PA	CDY28267.1	BnaA01g05820D	A0A078GSY4	
A01p06870.1_BnaDARv10-PA	CDY28266.1	BnaA01g05830D	A0A078GRZ2	
A01p06880.1_BnaDARv10-PA	CDY28265.1	BnaA01g05840D	A0A078GNY1	
A01p06890.1_BnaDARv10-PA	CDY28264.1	BnaA01g05850D	A0A078GSS4	
A01p06910.1_BnaDARv10-PA	CDY28263.1	BnaA01g05860D	A0A078GUD2	
A01p06940.1_BnaDARv10-PA	CDY28260.1	BnaA01g05890D	A0A078GNX8	
A01p06950.1_BnaDARv10-PA	CDY28259.1	BnaA01g05900D	A0A078GSR9	
A01p06970.1_BnaDARv10-PA	CDY28257.1	BnaA01g05920D	A0A078GSX2	
A01p06980.1_BnaDARv10-PA	CDY28256.1	BnaA01g05930D	A0A078GRY7	
A01p06990.1_BnaDARv10-PA	CDY28255.1	BnaA01g05940D	A0A078GNX3	
A01p07010.1_BnaDARv10-PA	CDY28253.1	BnaA01g05960D	A0A078GUC0	4.3.2.9
A01p07030.1_BnaDARv10-PA	CDY28250.1	BnaA01g05990D	A0A078GNX0	5.6.2.1
A01p07040.1_BnaDARv10-PA	CDY28249.1	BnaA01g06000D	A0A078GSR1	
A01p07050.1_BnaDARv10-PA	CDY28248.1	BnaA01g06010D	A0A078GUB6	6.1.1.12
A01p07060.1_BnaDARv10-PA	CDY28247.1	BnaA01g06020D	A0A078GSW5	
A01p07070.1_BnaDARv10-PA	CDY28246.1	BnaA01g06030D	A0A078GRY1	3.2.1.39
A01p07080.1_BnaDARv10-PA	CDY28245.1	BnaA01g06040D	A0A078GNW6	
A01p07100.1_BnaDARv10-PA	CDY28243.1	BnaA01g06060D	A0A078GUB0	
A01p07110.1_BnaDARv10-PA	CDY28241.1	BnaA01g06080D	A0A078GRY0	
A01p07120.1_BnaDARv10-PA	CDY28240.1	BnaA01g06090D	A0A078GNW4	2.3.1.181
A01p07130.1_BnaDARv10-PA	CDY28239.1	BnaA01g06100D	A0A078GSQ2	
A01p07150.1_BnaDARv10-PA	CDY28237.1	BnaA01g06120D	A0A078GSV7	
A01p07160.1_BnaDARv10-PA	CDY28236.1	BnaA01g06130D	A0A078GRX8	
A01p07170.1_BnaDARv10-PA	CDY28235.1	BnaA01g06140D	A0A078GNV9	
A01p07180.1_BnaDARv10-PA	CDY28234.1	BnaA01g06150D	A0A078GSQ0	
A01p07190.1_BnaDARv10-PA	CDY28233.1	BnaA01g06160D	A0A078GU98	
A01p07200.1_BnaDARv10-PA	CDY28232.1	BnaA01g06170D	A0A078GSV3	
A01p07240.1_BnaDARv10-PA	CDY28230.1	BnaA01g06190D	A0A078GNV4	
A01p07260.1_BnaDARv10-PA	CDY28228.1	BnaA01g06210D	A0A078GU94	
A01p07270.1_BnaDARv10-PA	CDY28227.1	BnaA01g06220D	A0A078GSU8	
A01p07290.1_BnaDARv10-PA	CDY28224.1	BnaA01g06250D	A0A078GSP3	3.4.19.12
A01p07310.1_BnaDARv10-PA	CDY28222.1	BnaA01g06270D	A0A078GSU5	
A01p07340.1_BnaDARv10-PA	CDY28219.1	BnaA01g06300D	A0A078GSN9	
A01p07350.1_BnaDARv10-PA	CDY28218.1	BnaA01g06310D	A0A078GU83	
A01p07360.1_BnaDARv10-PA	CDY28217.1	BnaA01g06320D	A0A078GSU1	3.4.16.-
A01p07370.1_BnaDARv10-PA	CDY28216.1	BnaA01g06330D	A0A078GRW5	3.4.16.-
A01p07380.1_BnaDARv10-PA	CDY28215.1	BnaA01g06340D	A0A078GNU7	
A01p07390.1_BnaDARv10-PA	CDY28214.1	BnaA01g06350D	A0A078GSN4	
A01p07400.1_BnaDARv10-PA	CDY28213.1	BnaA01g06360D	A0A078GU79	
A01p07490.1_BnaDARv10-PA	CDY28208.1	BnaA01g06410D	A0A078GU74	
A01p07530.1_BnaDARv10-PA	CDY28204.1	BnaA01g06450D	A0A078GSM7	
A01p07560.1_BnaDARv10-PA	CDY28202.1	BnaA01g06470D	A0A078GSS6	
A01p07590.1_BnaDARv10-PA	CDY28201.1	BnaA01g06480D	A0A078GRV6	
A01p07600.1_BnaDARv10-PA	CDY28200.1	BnaA01g06490D	A0A078GNT5	
A01p07620.1_BnaDARv10-PA	CDY28198.1	BnaA01g06510D	A0A078GU65	
A01p07630.1_BnaDARv10-PA	CDY28197.1	BnaA01g06520D	A0A078GSS2	
A01p07640.1_BnaDARv10-PA	CDY28196.1	BnaA01g06530D	A0A078GRV3	
A01p07650.1_BnaDARv10-PA	CDY28195.1	BnaA01g06540D	A0A078GNT2	
A01p07690.1_BnaDARv10-PA	CDY28191.1	BnaA01g06580D	A0A078GRV0	
A01p07700.1_BnaDARv10-PA	CDY28190.1	BnaA01g06590D	A0A078GNS8	
A01p07730.1_BnaDARv10-PA	CDY70926.1	BnaCnng70410D	A0A078JZD0	
A01p07740.1_BnaDARv10-PA	CDY28187.1	BnaA01g06620D	A0A078GSR4	
A01p07750.1_BnaDARv10-PA	CDY28186.1	BnaA01g06630D	A0A078GRU6	
A01p07760.1_BnaDARv10-PA	CDY28185.1	BnaA01g06640D	A0A078GNS6	
A01p07770.1_BnaDARv10-PA	CDY68265.1	BnaAnng26670D	A0A078JPC3	
A01p07780.1_BnaDARv10-PA	CDY28184.1	BnaA01g06650D	A0A078GSK9	
A01p07790.1_BnaDARv10-PA	CDY28183.1	BnaA01g06660D	A0A078GU52	
A01p07820.1_BnaDARv10-PA	CDY28179.1	BnaA01g06700D	A0A078GSK6	2.7.1.107
A01p07830.1_BnaDARv10-PA	CDY28178.1	BnaA01g06710D	A0A078GU47	
A01p07840.1_BnaDARv10-PA	CDY28177.1	BnaA01g06720D	A0A078GSQ6	
A01p07850.1_BnaDARv10-PA	CDY28176.1	BnaA01g06730D	A0A078GRU0	2.4.1.207
A01p07860.1_BnaDARv10-PA	CDY28175.1	BnaA01g06740D	A0A078GNR7	2.4.1.207
A01p07870.1_BnaDARv10-PA	CDY28174.1	BnaA01g06750D	A0A078GSK1	2.4.1.207
A01p07880.1_BnaDARv10-PA	CDY28173.1	BnaA01g06760D	A0A078GU44	
A01p07910.1_BnaDARv10-PA	CDY28170.1	BnaA01g06790D	A0A078GNR2	
A01p07920.1_BnaDARv10-PA	CDY28169.1	BnaA01g06800D	A0A078GSJ9	1.6.2.4
A01p07930.1_BnaDARv10-PA	CDY28168.1	BnaA01g06810D	A0A078GU42	
A01p07940.1_BnaDARv10-PA	CDY28167.1	BnaA01g06820D	A0A078GSP9	7.1.2.1
A01p07960.1_BnaDARv10-PA	CDY67154.1	BnaAnng23680D	A0A078JK37	
A01p07970.1_BnaDARv10-PA	CDY28166.1	BnaA01g06830D	A0A078GRT4	1.11.1.7
A01p07980.1_BnaDARv10-PA	CDY28165.1	BnaA01g06840D	A0A078GNQ7	
A01p07990.1_BnaDARv10-PA	CDY28164.1	BnaA01g06850D	A0A078GSJ5	
A01p08000.1_BnaDARv10-PA	CDY28163.1	BnaA01g06860D	A0A078GU38	
A01p08020.1_BnaDARv10-PA	CDY28160.1	BnaA01g06890D	A0A078GNQ0	
A01p08040.1_BnaDARv10-PA	CDY43554.1	BnaA01g06900D	A0A078I1T1	
A01p08060.1_BnaDARv10-PA	CDY43553.1	BnaA01g06910D	A0A078I393	
A01p08070.1_BnaDARv10-PA	CDY43552.1	BnaA01g06920D	A0A078I0E2	
A01p08080.1_BnaDARv10-PA	CDY43551.1	BnaA01g06930D	A0A078I193	
A01p08090.1_BnaDARv10-PA	CDY43550.1	BnaA01g06940D	A0A078HYG7	
A01p08100.1_BnaDARv10-PA	CDY43549.1	BnaA01g06950D	A0A078I1S7	
A01p08120.1_BnaDARv10-PA	CDY43547.1	BnaA01g06970D	A0A078I0D7	
A01p08130.1_BnaDARv10-PA	CDY43546.1	BnaA01g06980D	A0A078I188	
A01p08140.1_BnaDARv10-PA	CDY43545.1	BnaA01g06990D	A0A078HYG3	
A01p08150.1_BnaDARv10-PA	CDY43544.1	BnaA01g07000D	A0A078I1S5	
A01p08160.1_BnaDARv10-PA	CDY43543.1	BnaA01g07010D	A0A078I388	
A01p08170.1_BnaDARv10-PA	CDY43542.1	BnaA01g07020D	A0A078I0D4	
A01p08180.1_BnaDARv10-PA	CDY43541.1	BnaA01g07030D	A0A078I182	
A01p08190.1_BnaDARv10-PA	CDY43540.1	BnaA01g07040D	A0A078HYG1	
A01p08210.1_BnaDARv10-PA	CDY68633.1	BnaCnng59860D	A0A078JM99	
A01p08270.1_BnaDARv10-PA	CDY43535.1	BnaA01g07090D	A0A078HYF7	
A01p08280.1_BnaDARv10-PA	CDY43534.1	BnaA01g07100D	A0A078I1R7	7.2.2.10
A01p08290.1_BnaDARv10-PA	CDY43533.1	BnaA01g07110D	A0A078I382	
A01p08300.1_BnaDARv10-PA	CDY43532.1	BnaA01g07120D	A0A078I0C8	
A01p08310.1_BnaDARv10-PA	CDY43531.1	BnaA01g07130D	A0A078I173	
A01p08320.1_BnaDARv10-PA	CDY43530.1	BnaA01g07140D	A0A078HYF5	4.2.3.1
A01p08350.1_BnaDARv10-PA	CDY43527.1	BnaA01g07170D	A0A078I0C6	
A01p08400.1_BnaDARv10-PA	CDY43523.1	BnaA01g07210D	A0A078I374	
A01p08430.1_BnaDARv10-PA	CDY43521.1	BnaA01g07230D	A0A078I162	
A01p08440.1_BnaDARv10-PA	CDY43520.1	BnaA01g07240D	A0A078HYE9	
A01p08470.1_BnaDARv10-PA	CDY43515.1	BnaA01g07290D	A0A078HYD8	
A01p08480.1_BnaDARv10-PA	CDY43514.1	BnaA01g07300D	A0A078I1Q7	
A01p08490.1_BnaDARv10-PA	CDY43513.1	BnaA01g07310D	A0A078I357	
A01p08520.1_BnaDARv10-PA	CDY43511.1	BnaA01g07330D	A0A078I140	
A01p08530.1_BnaDARv10-PA	CDY43510.1	BnaA01g07340D	A0A078HYB7	
A01p08540.1_BnaDARv10-PA	CDY43509.1	BnaA01g07350D	A0A078I1N1	
A01p08550.1_BnaDARv10-PA	CDY43508.1	BnaA01g07360D	A0A078F1Q6	
A01p08560.1_BnaDARv10-PA	CDY43506.1	BnaA01g07380D	A0A078I114	
A01p08570.1_BnaDARv10-PA	CDY43505.1	BnaA01g07390D	A0A078HYB2	
A01p08590.1_BnaDARv10-PA	CDY43502.1	BnaA01g07420D	A0A078I070	
A01p08600.1_BnaDARv10-PA	CDY43501.1	BnaA01g07430D	A0A078I109	
A01p08610.1_BnaDARv10-PA	CDY43500.1	BnaA01g07440D	A0A078HYA7	
A01p08620.1_BnaDARv10-PA	CDY43499.1	BnaA01g07450D	A0A078I1M1	
A01p08630.1_BnaDARv10-PA	CDY43498.1	BnaA01g07460D	A0A078I315	
A01p08640.1_BnaDARv10-PA	CDY48722.1	BnaA09g09970D	A0A078EQ47	
A01p08650.1_BnaDARv10-PA	CDY43496.1	BnaA01g07480D	A0A078I104	2.7.11.1
A01p08670.1_BnaDARv10-PA	CDY43494.1	BnaA01g07500D	A0A078I1L6	
A01p08700.1_BnaDARv10-PA	CDY68825.1	BnaA01g34880D	A0A078JQX9	
A01p08740.1_BnaDARv10-PA	CDY48609.1	BnaA01g07560D	A0A078IGT9	
A01p08750.1_BnaDARv10-PA	CDY48608.1	BnaA01g07570D	A0A078IHM4	
A01p08760.1_BnaDARv10-PA	CDY48607.1	BnaA01g07580D	A0A078IF49	
A01p08770.1_BnaDARv10-PA	CDY48606.1	BnaA01g07590D	A0A078IF27	
A01p08810.1_BnaDARv10-PA	CDY48603.1	BnaA01g07620D	A0A078IHM0	2.3.2.2; 3.4.19.13
A01p08840.1_BnaDARv10-PA	CDY48602.1	BnaA01g07630D	A0A078IF45	
A01p08890.1_BnaDARv10-PA	CDY48596.1	BnaA01g07690D	A0A078IF14	
A01p08940.1_BnaDARv10-PA	CDY35246.1	BnaA01g07850D	A0A078HBV7	2.7.11.1
A01p08950.1_BnaDARv10-PA	CDY35245.1	BnaA01g07860D	A0A078H9W4	
A01p08980.1_BnaDARv10-PA	CDY35240.1	BnaA01g07910D	A0A078H9W0	
A01p09000.1_BnaDARv10-PA	CDY35236.1	BnaA01g07950D	A0A078HBU8	
A01p09010.1_BnaDARv10-PA	CDY35235.1	BnaA01g07960D	A0A078H9V7	5.6.2.2
A01p09020.1_BnaDARv10-PA	CDY35234.1	BnaA01g07970D	A0A078HCN2	
A01p09030.1_BnaDARv10-PA	CDY35233.1	BnaA01g07980D	A0A078HEK2	
A01p09040.1_BnaDARv10-PA	CDY35230.1	BnaA01g08010D	A0A078H9V3	
A01p09060.1_BnaDARv10-PA	CDY35228.1	BnaA01g08030D	A0A078HEJ7	2.4.1.207
A01p09070.1_BnaDARv10-PA	CDY35227.1	BnaA01g08040D	A0A078HBU0	
A01p09080.1_BnaDARv10-PA	CDY35226.1	BnaA01g08050D	A0A078HBS7	
A01p09090.1_BnaDARv10-PA	CDY35225.1	BnaA01g08060D	A0A078H9U9	
A01p09110.1_BnaDARv10-PA	CDY35223.1	BnaA01g08080D	A0A078HEJ1	
A01p09130.1_BnaDARv10-PA	CDY35219.1	BnaA01g08120D	A0A078HCL9	
A01p09140.1_BnaDARv10-PA	CDY35218.1	BnaA01g08130D	A0A078HEI7	
A01p09150.1_BnaDARv10-PA	CDY35217.1	BnaA01g08140D	A0A078HBT5	
A01p09160.1_BnaDARv10-PA	CDY35216.1	BnaA01g08150D	A0A078HBR9	
A01p09220.1_BnaDARv10-PA	CDY65573.1	BnaCnng47780D	A0A078JD75	
A01p09230.1_BnaDARv10-PA	CDY35211.1	BnaA01g08200D	A0A078HBR5	
A01p09240.1_BnaDARv10-PA	CDY35210.1	BnaA01g08210D	A0A078H9T4	
A01p09250.1_BnaDARv10-PA	CDY35209.1	BnaA01g08220D	A0A078HCL2	
A01p09270.1_BnaDARv10-PA	CDY35206.1	BnaA01g08250D	A0A078HBR2	
A01p09280.1_BnaDARv10-PA	CDY35205.1	BnaA01g08260D	A0A078H9S9	
A01p09290.1_BnaDARv10-PA	CDY35204.1	BnaA01g08270D	A0A078HCL0	
A01p09300.1_BnaDARv10-PA	CDY35203.1	BnaA01g08280D	A0A078HEH5	
A01p09310.1_BnaDARv10-PA	CDY35202.1	BnaA01g08290D	A0A078HBS5	
A01p09320.1_BnaDARv10-PA	CDY35201.1	BnaA01g08300D	A0A078HBQ6	
A01p09330.1_BnaDARv10-PA	CDY35200.1	BnaA01g08310D	A0A078H9S4	
A01p09340.1_BnaDARv10-PA	CDY35199.1	BnaA01g08320D	A0A078HCJ2	
A01p09360.1_BnaDARv10-PA	CDY35198.1	BnaA01g08330D	A0A078HEH1	
A01p09370.1_BnaDARv10-PA	CDY67961.1	BnaAnng25730D	A0A078JQL4	
A01p09410.1_BnaDARv10-PA	CDY38380.1	BnaC01g09890D	A0A078HIU3	
A01p09420.1_BnaDARv10-PA	CDY35196.1	BnaA01g08350D	A0A078HBQ3	
A01p09430.1_BnaDARv10-PA	CDY35195.1	BnaA01g08360D	Q9AXM0	
A01p09440.1_BnaDARv10-PA	CDY35194.1	BnaA01g08370D	A0A078HCI7	
A01p09460.1_BnaDARv10-PA	CDY35189.1	BnaA01g08420D	A0A078HCI1	
A01p09480.1_BnaDARv10-PA	CDY35187.1	BnaA01g08440D	A0A078HBR3	
A01p09490.1_BnaDARv10-PA	CDY38390.1	BnaC01g09990D	A0A078HIV4	
A01p09500.1_BnaDARv10-PA	CDY35186.1	BnaA01g08450D	A0A078HBP7	
A01p09510.1_BnaDARv10-PA	CDY35185.1	BnaA01g08460D	A0A078H9R2	
A01p09520.1_BnaDARv10-PA	CDY35184.1	BnaA01g08470D	A0A078HCH7	
A01p09530.1_BnaDARv10-PA	CDY69740.1	BnaAnng31360D	A0A078JTH5	
A01p09540.1_BnaDARv10-PA	CDY69741.1	BnaAnng31370D	A0A078JW38	
A01p09590.1_BnaDARv10-PA	CDY65882.1	BnaAnng21270D	A0A078JKJ7	3.4.19.12
A01p09600.1_BnaDARv10-PA	CDY65881.1	BnaAnng21260D	A0A078JJ92	
A01p09620.1_BnaDARv10-PA	CDY65878.1	BnaAnng21230D	A0A078JE49	
A01p09640.1_BnaDARv10-PA	CDY65876.1	BnaAnng21210D	A0A078JJ89	
